sentence,relation,head,head_offset,tail,tail_offset
子弹外卖：子弹侠品牌旗下外卖服务平台！主要经营：外卖、超市、蔬菜配送、同城跑腿、各种上门服务等。~子弹外卖，专送超快！只为打造同城更便捷的生活方式！子弹侠：您的生活好帮手！望谟智捷信息科技有限责任公司提供,所属公司,子弹外卖,0,谟智捷信息科技有限责任公司提,87
“爱甘泉”手机APP作为甘泉县融媒体中心主办的“新闻+政务+服务”综合APP，是权威的舆论宣传主阵地。~开设了新闻、直播、电视、广播、服务、“甘泉号”等栏目，整合了县域内网站、微信、微博、短视频等自媒体和部门、镇（办）、社区、村组政务服务资源。~用户可通过客户端，第一时间了解甘泉政治、经济、民生、服务等方面的动态，同时提供各种便民服务，还可参与实时互动，实现“一端在手，尽享智慧”。~,开发者,爱甘泉,1,甘泉县融媒体中心,12
《网乐专车》是由贵州乐拼网约车服务有限公司研发、运维的出行平台，公司核心：共创、共享、共赢。平台创新：开创一家咱老百姓自己的出行平台。平台服务：安全出行，接地气，贴心的服务。,应用平台,《网乐专车》,0,出行平台,62
新环州客户端是环县融媒体中心倾力打造的环县第一新闻党端，是以新闻+党建+政务+服务为核心的综合性新闻客户端，更全面地讲述环县好故事、传递环县好声音、树立环县好形象。,交互模式,新环州,0,新闻,23
微圾分商家端，是微圾分小程序对应的商家管理工具，可进行商品、订单、评价、今日营收情况统计及查看，可添加员工账号，便于员工协助店长管理店铺。,交互模式,微圾分商家端,0,商品、订单、评价、今日营收情况统计,27
南宁农交冷链物流APP是广西南宁农产品交易中心冷链物流公共信息平台的安卓手机客户端，主要提供发布/检索/查阅冷链货运信息功能，简单易用，检索功能强大。,所属公司,南宁农交冷链物流APP,0,广西南宁农产品交易中心冷链物流公共信息平台,12
蓝海银行经中国银监会批准设立，持有法定银行牌照，秉承“科技金融，连接你我”的使命，致力打造交易型、平台型、轻资本型的类互联网银行。~蓝海银行手机银行，为您提供一站式的聚合金融服务，主要包括我行特色存款产品、贷款产品、朋友圈等多个模块，在线支持开通二类账户，实现绑卡、充值、提现等贴心功能，并支持办理各类存、贷款业务，满足您的多元化金融需求。~蓝海银行客户服务热线：4000631888。~,开发者,海银行手机银行，,67,蓝海银行,0
修车佬是一款汽车配件销售，维修技术支持等服务的综合性汽车服务平台，它面向汽车配件市场的找汽配软件，只需要通过简单选择采购商品即可发布需求，上万汽配供货商百秒报价，省心更省时，帮助你快速找到汽车配件。,交互模式,修车佬,0,采购商品,58
中消在线面向全国应急消防行业，发挥“数据驱动”与“云技术”网络协同效应，致力于创新应急信息化、智能化，是国内首家围绕“智慧城市”模式打造的应急消防服务平台。~平台着力投入智慧应急重点领域，发挥“数据驱动”与“云技术”网络协同效应，通过解决方案+产品+服务，建立应急资源服务体系，实现“人防+物防+技防”的安全防控体系，为城市提供全方位应急安全保障。~,应用平台,中消在线,0,应急消防服务平台,69
苏巧巧app，整合苏泊尔一系列优质的智能烹饪产品及服务，为您提供一个智能化的云烹饪平台和一站式烹饪解决方案。~菜谱2.0：基于烹饪设备开发的高品质智能菜谱烹饪程序，为您提供轻松便捷美味营养的烹饪体验。~高品质的视频及图文菜谱今天吃什么：基于您的饮食习惯及喜好为您智能推荐的美食菜谱。~烹饪导航：清晰的步骤引导，智能语音控制，让菜鸟秒变大厨。~苏泊尔管家：服务更体贴，智能查询服务网点，400即时电话售后服务。~,应用平台,苏巧巧,0,云烹饪平台,38
文旅中国客户端是中国文化传媒集团倾力打造的一款新媒体平台产品。~聚焦文化和旅游资讯，更新及时，推送精确。~权威解读文化和旅游政策动向，实时为用户提供最贴心的政务服务，汇聚专业人士为你答疑解惑，邀请你一起开启文化和旅游的发现之旅。~,开发者,文旅中国,0,中国文化传媒集团,8
嗨职是邯郸地区的专业的人才招聘网站。服务范围包括：网络招聘、现场招聘、企业专场招聘、招聘流程外包、职业培训、企业培训、人才测评、法务外包、薪税服务等专业的人力资源服务。,总部,嗨职,0,邯郸地区,3
喵个券app是一款可以省钱购物的服务软件，涵盖了京东，拼多多等众多电商平台里面的精选优质商品，商品种类繁多。~把你想购买的商品来喵个券瞄一下，让你享受最低的价格购买优质的商品，真正的省钱赚钱，喜欢购物的朋友快来下载吧！,交互模式,喵个券app,0,物的,99
天津生态城公用事业客服平台”是由天津生态城投资开发有限公司设立，全面服务生态城居民及企事业用户的创新型业务办理、资讯获取、公众监督及宣传性服务平台。~平台以“以人为本、主动服务”为目标，立足生态城公用事业服务，整合投资公司系统相关服务资源，使生态城居民及企事业用户更方便获取能源使用情况、停供能信息，更多渠道进行咨询、报修，更多途径了解生态城动态，实现服务零距离。~,开发者,天津生态城公用事业客服平台,0,天津生态城投资开发有限公司,16
库洁士是一款线上预约洗车APP平台，推荐购买套餐更划算，可以领取优惠卷，让我们上门洗车更方便，快捷，不排队。颠覆传统洗车，线上预约洗车不排队。,交互模式,库洁士,0,购买,20
房帮帮是专业的一二手联动经纪人平台，很好地连接客户、经纪人和地产商，立足珠海，面向全国，拥抱优质房源，专业为您服务。房帮帮，你值得拥有。,应用平台,房帮帮,0,一二手联动经纪人平台,7
汴梁通App是开封公交总公司的官方版APP，由郑州中凯智能科技有限公司为开封公交总公司打造的一款公交服务类App；使用本APP，用户可以体验无需携带实体卡，即可乘坐公交，为您提供更加便利的乘坐方式。,开发者,汴梁通,0,郑州中凯智能科技有限公司,23
找鲜网APP是一款为海鲜批发商提供便利的应用，主要针对各地区的海鲜店面进行批发销售。~找鲜网平台汇集了海外一手活鲜、冻品资源以及国内的远洋捕捞船、水产品企业、码头等优质一手资源。~产品销售到餐饮、乡厨、食堂以及海鲜礼盒的订购团购。~,交互模式,找鲜网,0,团购。~,112
掌上陆丰APP主要报道陆丰市政府中心工作、关注民生、社会热点问题，发挥舆论监督，维护社会稳定的主流媒体作用。~核心功能：新闻资讯：提供陆丰本土新闻、热点资讯互动直播：直播活动现场、新闻事件，边看现场边发弹幕手机电视：随时随地看电视，精彩节目不错过本地服务：提供政务服务、生活服务,交互模式,掌上陆丰,0,闻资讯：,61
卷省app——网购达人首选的省钱工具！海量大额优惠券让你领到手软，分享优惠让朋友更省钱，带自营商城+本地O2O生活平台！欢迎您的加入！共同发展美好未来！,应用平台,卷省,0,本地O2O生活平台,50
驾驶证扣分查询，用户通过输入姓名+驾驶证号查询驾驶证的详细信息【档案编号、准驾车型、初次领证日期、驾驶证状态、驾驶证有效期至】，也可以输入VIN查询车辆出场信息,交互模式,驾驶证扣分查询,0,查询,21
找豆网商城是在农业部全国专用大豆产业联盟和商务部电商司指导和支持下成立。旨在快速搭建大豆产业合作信息对接和大豆交易平台，打造大豆全产业链买卖对接，菽香天下（北京）科技产业有限公司官方出品,所属公司,找豆网商城,0,菽香天下（北京）科技产业有限公司,73
宝舰，是由北京金紫竹科技有限公司运营的医疗整合平台，是经过国家食品药品监督局批准的经营性网络平台。~宝舰具有强大的信息资源优势、完善的产品追溯能力、完善的物流配送体系，为广大器械、医药界同仁提供优质信息服务和产品教育服务。~宝舰立志打造优质的医疗保健信息并提供先进的互联网培育应用模式，全力促进本行业的进步和发展。~,应用平台,宝舰,0,医疗整合平台,19
"云南省技能培训通是以职业培训质量提升服务技术平台为基础、以公共职业技能培训数字资源为核心、以系统综合运营服务为支撑,促进培训和就业。",应用平台,云南省技能培训通,0,服务技术平台,18
八桂行卡由广西壮族自治区人民政府授权广西捷通高速科技股份有限公司面向社会发行，卡内记载用户和车辆信息，是用于支付高速公路通行费的卡。~广西捷通高速科技股份有限公司八桂行卡客户端，提供账单查询、网点查询、通信费查询、通行信息、账户充值、预约办卡等功能,所属公司,八桂行卡,0,广西捷通高速科技股份有限公司,18
优货司机端是百世优货旗下一款专为货车司机开发的找货APP。千万货源明码标价，拉货安心有保障；常跑线路一键订阅，好货源不错过。全新界面，操作便捷，功能服务更丰富。上优货司机端，30万货车司机的找货选择！,所属公司,优货司机端,0,百世优货,6
大唐不夜城步行街以盛唐文化为背景，是西安唐文化展示和体验的首选之地。为了更好地服务消费者和用户，大唐不夜城官方正在打造一个集电商、直播、大数据等功能于一体的智慧商圈应用，建设公共信息服务平台。,应用平台,大唐不夜城步行街,0,公共信息服务平台,87
《博思语文》由北京博思教育研究院联合北京大学、清华大学、北京师范大学等一大批著名专家、博士历时三年研发成功的中国首套语文学习APP，创造了成功的语文学习新模式。~帮助广大师生快速清除了语文学习障碍，全面提升语文的学习效果。~,开发者,博思语文,1,清华大学,23
金阳光移动证券是光大证券为客户鼎力打造的全新一代移动证券平台，为客户提供专业的证券行情、交易、资讯服务。~金阳光移动证券采用多项业内领先技术，使行情更快捷、交易更安全、资讯更及时，为客户提供全方位的专业证券服务。~,版权,金阳光移动证券,0,光大证券,8
谷物微私教是由广州谷物智能科技有限公司推出的一款专为健身教练用户打造的一款集排课和学员管理为一体的软件。~通过私教日常排期记录可以全方位管理私教学员。~包括日历课程排期，记录会员授课记录，评论和记录会员inbody数据一体的健身私教课软件。~通过全方位的记录会员私教课情况，可以提高对会员健身情况了解，更细致得安排私教课内容，并对会员的健身效果做更详细评估，提高授课满意度，显著提升私教续课率。~,版权,谷物微私教,0,广州谷物智能科技有限公司,7
穗付灵工隶属于宁波穗付信息科技有限公司。穗付灵工是基于企业需求，不建立标准劳动关系或建立个人合作关系的全新模式。企业利用灵活用工这种弹性模式，能够灵活地因需而变，满足快速变化的业务需求。,所属公司,穗付灵工,0,宁波穗付信息科技有限公司,7
1、聚星直播--好玩的PC、手机直播应用；随时随地开启直播，观看演艺。~2、火热的泛娱乐在线演艺手机平台。~每天超过3000名特色主播在线互动，7*24小时全天候全方位，休闲娱乐神器。~3、优质视听体验，高清画质、视频流畅度行业领先，直播间活跃程度胜似现场体验。~4、唱歌、聊天、演艺表演内容形式丰富多彩，多种标签区分主播，满足用户更加多元的观看需求。~,用户数量,聚星直播,2,00名特色,60
任丘停车APP是一款提供便捷，准确，安全可靠的停车服务手机软件，提供用户周边实时的停车泊位信息，停车场车位信息以及丰富快捷的停车费用支付手段，帮助用户快速完成停车，付费等流程。~任丘停车致力于解决城市停车难题，为驾驶者朋友们提供停车信息服务，您的需求就是我们的追求。~,交互模式,任丘停车AP,0,付费,82
《养鸟人》APP为成都云传承科技有限公司开发，是中国首款基于手机终端开发的鸟界APP论坛软件，旨在为广大养鸟爱好者提供一个专业的互联网平台和纯净养鸟人社区。,开发者,养鸟人,1,成都云传承科技有限公司,9
南宁农交冷链物流APP是广西南宁农产品交易中心冷链物流公共信息平台的安卓手机客户端，主要提供发布/检索/查阅冷链货运信息功能，简单易用，检索功能强大。,应用平台,南宁农交冷链物流APP,0,安卓手机客户端,34
i塔城是新疆塔城地区广播电视台融媒体中心所属的APP。i塔城APP旨在为传递塔城声音，服务塔城地区百姓。打造一个集新闻、咨询、政策解读、民生服务、文化旅游、美食娱乐为一体的综合平台。,开发者,i塔城,0,新疆塔城地区广播电视台融媒体中心,4
长治农商银行软件是由长治潞州农村商业银行股份有限公司打造的互联网金融平台。利用信息技术创新手段，开展致力于本地市场的互联网金融业务，并为广大机构、个人提供安全、专业、高效的金融互联网金融平台。,应用平台,长治农商银行,0,互联网金融平台,29
叮功出行是昭通百信企业旗下云南叮功出行科技有限公司自主研发的一款面向全国的网约车出行平台，涵盖出租车、快车、专车等多项服务。提供智能派单，预约方便，安全快捷，操作简单的服务，是您出行的优质选择。,开发者,叮功出行,0,云南叮功出行科技有限公司,13
海南公积金客户端是海南省住房公积金管理局官方APP。旨在更好地服务广大公积金缴存职工，提供更高效快捷的公积金信息查询、公积金资讯浏览、公积金办事指南。更好的为职工住房公积金提供便利。,开发者,海南公积金客户端,0,海南省住房公积金管理局,9
“大美克州”是由克孜勒苏日报主办，克孜勒苏克尔克孜自治州委员会主管，一个全新宣传阵地，是手机上的的移动媒体，是宣传克孜勒苏克尔克孜自治州的平台，服务百姓的窗口，欢迎大家下载阅览。,开发者,“大美克州”,0,克孜勒苏日报,8
“千方百计”是由厦门智慧印象网络科技有限公司，开发的一款领取优惠券购物省钱的APP平台，我们服务宗旨是：购物省钱返利，就用千方百计。希望我们的APP平台能成为您网购省钱优惠的好帮手！,交互模式,千方百计,1,网购,80
渤海证券综合APP是渤海证券专为广大股民打造的一款集股票开户、股票交易、股市行情、业务办理等为一体的综合投资理财平台。,版权,渤海证券综合,0,渤海证券,10
优料一个以技术，数据为驱动的建材行业电商平台，专注于为建材行业买卖双方提供交易撮合，交易担保，品控，金融帮扶等服务，海量货源精准对接，价格自主调控，品质严控。,交互模式,优料,0,电商,18
课窝PTE为上海课窝教育科技有限公司开发的一款背单词教育类应用，主要为备战PTE学术英语考试的用户提供精选分类的单词本以及根据学习时间生成相对应的学习计划，绘制进步表单，以满足用户合理高效的掌握考试的需求。~,版权,课窝PTE,0,上海课窝教育科技有限公司,6
旅兜是一个集旅游咨询、旅游攻略、旅友互动、旅游分享、旅游经济于一体的大众创业型、半公益类旅游订制及沿途好物购物平台，是国内旅游业首个以支持轻创业为目的，商业及公益价值并跻的前瞻性媒介交互类应用软件。,交互模式,旅兜,0,购物,53
“智慧尤溪”APP是尤溪县融媒体中心推出的尤溪县政务融媒体平台，平台整合全县各部门和各乡镇资源，是集新闻宣传、政务发布、掌上政务(掌上办事大厅)、学习教育、活动直播、视频点播、便民服务、网上商城等功能于一体的“智慧城市”载体。~是权威的新闻信息平台、综合的便民服务平台、社群生活信息交互平台，基本可以覆盖现代移动信息及生活的全部内容。~,应用平台,智慧尤溪,1,闻信息平台、,119
广角相机是一个全景相机应用，它可以连续拍摄的几张照片自动合并成一张。~【高分辨率】最高可拍摄8000万像素照片【多种全景模式】支持竖拍全景、广角全景、球形全景、长焦全景、自拍全景等【多种特效】二十种图片特效【更多趣味玩法】内置3D全景照片查看器，可以将照片变换各种各样的形态【一键分享】支持一键分享至朋友圈,交互模式,广角相机,0,照片,24
“运动绿城”是广西南宁市体育局推出的“互联网+全民健身”运动类APP。~通过“运动地图”功能可迅速找到并预定离当前位置800米半径范围内的所有健身运动场馆设施，打造专属于南宁市民的十分钟健身圈。~此外，该平台还能提供赛事报名、体育资讯、健身教学、查找体育组织、运动约战等服务，极大满足各类运动人群的需要。~,开发者,运动绿城,1,广西南宁市体育局,7
i舞APP由四川爱舞科技有限公司推出，是i舞平台为广大舞蹈爱好者打造的专业舞蹈线上服务平台。~内容包括：线上舞蹈教学（及直播）课程、国标舞赛事资讯、国标舞音乐、线上考级考牌、线上/线下赛事报名、舞蹈明星矩阵、舞蹈用品商城等，旨在为爱舞的你，提供最优质、有效、贴心的服务。~从现在开始，用i舞APP记录你的舞蹈历程。~,所属公司,i舞,0,四川爱舞科技有限公司,6
宜豆是一款综合性应用为用户提供找房信息，包括了新房、二手房、租房、装修推荐、卖房估值、旅游信息等一系列模块，为用户打造一站式服务。,交互模式,宜豆,0,新房、二手房、租房、装修推荐、卖房估值、旅游信息,23
厦医附二OA是福建亿同科技公司办公系统的移动版软件，亿同OA是国内知名的协同办公软件产品。~移动版提供了流程审批、公文处理、邮件、专栏、公告通知等功能模块。~其中流程审批作为移动版的主要功能之一，能借助移动互联网技术，极大的拓展办公空间、提高办公效率、节省办公成本.。~,所属公司,厦医附二OA,0,福建亿同科技公司,7
掌上犍为是是犍为融媒体推出的官方app，包含资讯、视听、圈子、问政、直播、生活服务等功能模块，是讲好犍为故事，传播犍为声音，展示犍为形象的综合性服务平台。,交互模式,掌上犍,0,资讯、视听、圈子、问政、直播、生活服务,22
"快乐一码付是乐山商业银行为特约商户量身打造的一款通用的支付收单工具,融合微信支付、支付宝、银联二维码支付等多样化支付方式,一个应用将多种增值服务赋能特约商户,为特约商户提供交易、对账、差错、消息通知、店员管理等多样化的服务。~只要拥有一款手机,安装应用即可随时、随地收付款,依据客户的选择,随心选择多样化支付方式,让您与客户拥有更好的互动体验。~",所属公司,快乐一码付,0,乐山商业银行,6
哈奇智家是由哈奇智能官方出品的智能家居控制app，服务哈奇（Hachi）的智能家居用户，为用户提供基于智能家居控制的一款专属app，旨在为用户提供高效、便利、智能、安全的全新智能生活方式。~----主要功能----【首页】快速切换情景模式，便捷控制常用设备。~【房间】房间维度展示设备状态，控制智能设备。~【我的】编辑用户信息，方便的设置app选项。~,开发者,哈奇智家,0,哈奇智能,6
鑫恩华创业服务平台，是鑫恩华大数据集团独立自主研发的免费企业智能服务平台，为企业提供一站式企业线上服务！创业就找鑫恩华！,版权,鑫恩华创业服务平台,0,鑫恩华大数据集团,11
为你摘星--更真实高效的相亲交友平台社区为你摘星--更容易遇见爱情的恋爱相亲交友平台!为你摘星，为你揽月，你和TA命中注定在这里相遇；,交互模式,为你摘星,0,相亲交友平台,12
笑天犬是哈狗游戏旗下智能生活及电商购物平台。作为一个品控严格的电商平台，为用户精挑细选优质商品，为用户打造一个有品质的生活。,版权,笑天犬,0,哈狗游戏,4
私密浏览器，保护您上网时下载的私密图片、视频、小说等不被人窥窃，无痕安全浏览，自主研发安全极速内核，保证信息不泄露，上网看图看片必备神器。~汇集常用的网站及资源。~及时收录影视、音乐、小说、游戏等分类的网址和内容，让您的网络生活更简单精彩。~,交互模式,私密浏览器,0,图片、视频、小说,17
创e办公室是北京倍胜智能科技有限公司基于商务办公场景为企业和物业管理研发的集运营服务和办公打卡等为一体的平台。~创e办公结合智能硬件设备，通过物联网，移动互联网等技术，为写字楼入驻企业以及楼宇管理者提供便捷办公服务。~,所属公司,创e办公室,0,北京倍胜智能科技有限公司,6
优品惠；专注网购省钱，分享赚钱。安全稳定的系统平台，完美的体验感。优品惠拥有全网大量优惠券，剔除大部分劣质产品，帮购物者节省超过30%的日常购物开销。优品惠-让生活更美好！,交互模式,优品惠,0,分享,11
快演app：通过链接的人与演出之间关系，撮合演出方与用户端之间的需求的平台，用户可以通过短视频的形式看演出，分享和传播优质演出的文化，选择你喜爱的idol，打造你的专属视频，同时还能为家庭聚会，商业演出，公司年会等不同场景提供定制演出；快演覆盖了全国超过20个城市，500+专业的演出剧团和3000+艺人的演出服务；总结一句话就是：细分领域的B站+精神领域的饿了么,交互模式,快演,0,短视频,44
房吉旺APP主要为用户提供二手房、租房，商铺、厂房、房产等资讯的搜属索等服务，为用户提供良好、真实的网上找房体验；同时房吉旺平台为客户（经纪人、业主）提供高效的网络推广渠道。,交互模式,房吉旺,0,搜属索,32
弈小熊围棋，是一家传承发扬中国传统文化，以围棋为工具，帮助儿童健康、快乐、自然成长的在线教育平台。~弈小熊围棋专注于3-13岁儿童围棋启蒙教育，致力于研究围棋在儿童成长过程中的作用，根据儿童的身心发展规律，科学设置课程，从而提高儿童的专注力，观察力，大局观和抗挫折等基本能力。~弈小熊围棋在健康高效运转中，同时确保孩子得到最优质、纯正、专业的围棋教育。~,应用平台,弈小熊围棋,0,在线教育平台,42
嘉宝生活家平台是蓝光嘉宝集团打造的以社区物业为中心，围绕业主生活及小区周边开展的社区O2O电商平台，包括物业服务，邻里圈子，电子商务几大业务系统，为客户提供便捷的物业服务，社区交流与商圈服务。,交互模式,嘉宝生活,0,电子商务,62
1、云鲜集商城，中国大宗食品交易开放平台，是“食材配送+互联网”的B2B商城；2、作为中国食品行业的龙头企业之一，中国最大的冷链食品分销提供商之一，创新开发了开放型电商平台云冻品；3、利用遍布全国的冷链食品物流系统，为餐饮商家打造的一款冻品在线批发采购系统；,应用平台,云鲜集商城,2,食品交易开放平台,12
云报党政新闻客户端是云南日报报业集团全新打造的新媒体产品。~从指间看云南，从掌上瞰时代，在云南孕育，从云端发迹，集云岭大成。~云南日报报业集团新媒体产品“云报”信步而来，继续秉持传播主流思想、权威资讯、大众心声的宗旨，发出云岭大地最强音，展现七彩云南新姿态。~,开发者,云报党政新闻客户端,0,云南日报报业集团,10
快电——中国领先的职业司机充换电开放平台快电发力汽车能源解决方案和新能源出行市场，致力于搭建新能源需求方与充电站运营商间的快速高效的直通平台，快电支持在线查找充电站、扫码充电、在线支付等多种功能，集合多家充电站运营商，40W根充电桩，为用户提供一站式充电服务，打造全国商用车新能源平台。~,总部,快电,0,中国,4
爱上吴兴APP是湖州市吴兴区新闻传媒服务中心为适应形势发展和方便受众阅读而自主研发的手机端信息发布平台。~其主要为发布本地生活资讯，让百姓了解当下吴兴的真实情况。~并提供了一些生活服务，提高了百姓的生活便利程度。~也可以发布活动与群众互动，让群众参与其中，其乐融融。~,应用平台,爱上吴兴APP,0,手机端信息发布平台,42
优慕课在线教育平台的移动端，提供移动在线学习模式，可以在线下载学习资源离线学习，平台端的用户可以通过该app浏览平台端的教学信息。,交互模式,优慕课,0,在线教育,3
【在线问诊】图文、视频一对一咨询医生在线交流、足不出户和医生建立联系24小时内交流不限次数,交互模式,在线问诊,1,在线交流,18
大院导航是浙江魔豆科技有限公司的互联网停车品牌，是一家拥有卓越团队的互联网公司，自主研发相关软硬件产品。~公司一直以来专注于智能停车领域，励志构建中国的停车互联网公司。~卓越产品，良好体验是我们持续的追求。~服务于广大人民群众，真正解决生活中的停车难题。~,所属公司,大院导航,0,浙江魔豆科技有限公司,5
宝舰，是由北京金紫竹科技有限公司运营的医疗整合平台，是经过国家食品药品监督局批准的经营性网络平台。~宝舰具有强大的信息资源优势、完善的产品追溯能力、完善的物流配送体系，为广大器械、医药界同仁提供优质信息服务和产品教育服务。~宝舰立志打造优质的医疗保健信息并提供先进的互联网培育应用模式，全力促进本行业的进步和发展。~,应用平台,宝舰,0,经营性网络平台,41
天津银行手机银行是以手机为终端的一种全新的电子银行产品，为手机客户提供了账户查询、转账、缴费、投资理财、信用卡业务、移动支付等金融服务。~只要您拥有天津银行借记卡或活期存折，开通手机银行业务，就可以享受天津银行为您带来的手机银行便捷服务。~,交互模式,天津银行手机银行,0,账户查询、转账、缴费、投资理财,36
莲花停车，遂宁本地停车，是一款提供遂宁本地停车服务的软件。~包括遂宁本地停车位搜索，预约。~使用方便快捷，为你的出行提供便利。~功能涵盖车位查找、车位搜索、无感支付、停车记录详情。~遂宁本地停车位搜索，预约。~支持无感支付，在线付费，方便快捷,交互模式,莲花停车,0,在线付费，方便快捷,112
华西168是华西证券为员工打造的一款集员工沟通协同、移动办公、营销展业、经营决策等功能于一体的“移动办公门户”，旨在为员工提供高效、便捷、专业的移动工作平台。,版权,华西168,0,华西证券,6
球杆先生——全球首家球杆租赁平台。~球杆先生推出球杆先生商家版商户管理系统，用手机快捷处理订单，管理店铺。~快把您的商品搬到球杆先生平台，接收海量租杆订单吧！【功能亮点】-简易高效的订单处理体验-方便可靠的订单通知系统-简洁易用的商品管理体系,应用平台,球杆先生,0,租赁平台,12
咻咻快送一款外卖点餐平台，附近美食，无论是早午晚餐、下午茶、宵夜，还是中餐、西餐、家常菜、蛋糕店、小吃、快餐、海鲜、火锅、川菜、蛋糕、烤肉、水果、饮料、甜点。~只要想得到，没有送不到！超多种类，让外卖订餐更方便一些。~,应用平台,咻咻快送,0,点餐平台,8
爱装修APP，是专门为装修客户提供家装项目全生命周期管理，是工友与装饰用工客户间建立联系的平台，帮助工匠解决找工难，装饰工程中层层转包，工程质量的不可控，工程数据的不收录，工程风险不可控的棘手问题,应用平台,爱装修APP,0,平台,45
"快乐一码付是乐山商业银行为特约商户量身打造的一款通用的支付收单工具,融合微信支付、支付宝、银联二维码支付等多样化支付方式,一个应用将多种增值服务赋能特约商户,为特约商户提供交易、对账、差错、消息通知、店员管理等多样化的服务。~只要拥有一款手机,安装应用即可随时、随地收付款,依据客户的选择,随心选择多样化支付方式,让您与客户拥有更好的互动体验。~",版权,快乐一码付,0,乐山商业银行,6
"8英里APP是一款针对嘻哈文化垂直圈层的音乐创作娱乐类应用软件，用户通过线上录歌，分享给喜爱嘻哈音乐的精准用户群，从而建立自己的粉丝群体与个人圈层IP。~应用可供用户自主创作和录制,以及试听和圈层文化商城等功能",交互模式,8英里,0,线上录歌,36
超级排球，集合多种排球类体育运动项目，以精彩的中文体育资讯为基础；充分利用IP优势，为广大排球项目爱好者和参与者提供更专业、更权威、更有价值的服务。~超级排球，打造24小时移动体育、文化生活——随时随地看精彩赛事；与“同类”互动；与运动明星面对面交流；随手上传自己的运动花絮视频；享有专业的品牌运动装备；发起自己感兴趣的活动等。~,交互模式,级排球，,76,频；,138
“南太湖号”是湖州市移动新媒体平台，是市委市政府官方新闻客户端，由湖州市新闻传媒中心（集团）重点打造。~拥有权威信息发布、便捷生活服务、个性社交分享等功能，承载丰富媒介，为用户提供更鲜活、有品质、一站式的新闻及服务，是让世界更多彩，让城市更宜居，让生活更美好的融媒体平台。~在“南太湖号”看见美丽湖州，在湖州看见美丽中国！,应用平台,南太湖号,1,媒体平台。,131
“食安八桂餐饮平台”是广西由来溯往云数据科技有限责任公司使用原创的移动应用平台生成与聚合技术开发的供应链平台。通过这个平台可以实现餐饮单位采购食材，售卖菜品等售卖行为。,应用平台,食安八桂餐饮平台,1,供应链平台,49
守护侠，一站式居家安全物联网服务平台。~支持添加智能燃气报警器、联动机械阀、智能烟感报警器、智能家庭安全卫士、室外安全卫士等多种智能安防设备。~守护侠物联网服务平台将通过紧急事件快速推送、24h客服预警中心、小区物业联动、全天候机动派遣等多样化的安全服务时刻守护您的家庭安全。~,应用平台,守护侠,0,侠物联网服务平台将通,74
大美余干是由中共余干县委、余干县人民政府打造，余干县委宣传部主管，余干县广播电视台主办的一个全新宣传阵地，重点打造以新闻资讯、视频直播、生活服务为一体的具有广播电视特色的新闻应用客户端，成为无线领域的全新媒体和信息集散的主流平台。~,应用平台,大美余干,0,主流平台,110
“行啊”是中国航信研制开发的专门面向国内企事业单位出行的线上差旅系统，拥有机票预订、酒店预订、行程管理、审批管理、差旅管理、差旅统计等服务功能，具有便捷、安全、高效、价格透明的特点，并提供7*24小时全天候预订、咨询服务，无需企业IT运维管理。~【该应用只针对特定用户使用，无注册功能】,版权,行啊,1,中国航信,5
天津出租1，官方出租车平台，一键呼叫全市出租车；2，智能调度，更好满足用户线下出行需求；3，IM沟通，让司乘沟通更顺畅；4，安全出行，保障乘客一路安全；,应用平台,天津出租,0,官方出租车平台,6
安全校园是鼎芯科技旗下一款使用人脸监控来帮助家长和老师掌握孩子出入校安全的一款亲子APP，让家长更加方便地了解孩子的在校情况和学习情况，让班主任更加便捷地管理孩子的学习和班级的考勤，让孩子的安全得到更好的保障,开发者,安全校园,0,鼎芯科技,5
掌上沾医APP是山东顺能网络科技有限公司为沾化区人民医院定制开发的智慧医院手机客户端。~帮助医院优化就诊流程，让患者体验到互联网带来的不同的就诊体验度。~让患者免去排队的困扰，享受更全面、更优质、更高效的医疗服务。~主要功能包含：预约挂号、智能导诊、自助缴费、预约金充值、费用查询、实时叫号查询、报告单查询、科室医生、医院导航、动态消息、健康百科、体检套餐、服务评价、就诊指南、特色医技、个人中心等功能。~,版权,掌上沾医,0,山东顺能网络科技有限公司,8
智药通App是一款服务于各大药企生产厂商、商业公司和终端客户的移动销售助手。~平台依托九州通医药集团的行业资源优势，通过订单管理、流向管理、数据报表、我的业绩等实用功能，有效提高了医药流通效率，削减了行业成本，成功帮助10000+业务团队在平台上高效地开展业务，备受医药行业青睐。~,交互模式,智药通,0,移动销售,31
“歌华智能家居“安全专业的智能家居应用，在家庭生活中，您不仅可以远程管理和控制各种智能设备，设备之间亦能智能感知彼此联动，满足各种各样的生活场景，为您打造安全无忧的智能家庭生活。,交互模式,“歌华智能家,0,远程管理和控制,32
贝贝猪是首创的一家集社交电商的平台，依托国内知名电商平台海量优惠券和整合多方资源。贝贝猪也是一个人人可以轻创业的平台，在这里，任何人通过社交分享可以赚取奖励和佣金。,应用平台,贝贝猪,0,集社交电商的平台,9
